Trial 91, Try 1 complete: Score = -1014
Trial 91, Try 2 complete: Score = -1013
Trial 91, Try 3 complete: Score = -1020
Trial 91, Try 4 complete: Score = -1016
Trial 91, Try 5 complete: Score = -1009
Trial 91, Try 6 complete: Score = -1000
Trial 91, Try 7 complete: Score = -1000
Trial 91, Try 8 complete: Score = -1000
Trial 91, Try 9 complete: Score = -1000
Trial 91, Try 10 complete: Score = -1000
Trial 92, Try 1 complete: Score = -1002
Trial 92, Try 2 complete: Score = -1003
Trial 92, Try 3 complete: Score = -1008
Trial 92, Try 4 complete: Score = -1003
Trial 92, Try 5 complete: Score = -1011
Trial 92, Try 6 complete: Score = -1021
Trial 92, Try 7 complete: Score = -1000
Trial 92, Try 8 complete: Score = -1000
Trial 92, Try 9 complete: Score = -1000
Trial 92, Try 10 complete: Score = -1000
Trial 93, Try 1 complete: Score = -1003
Trial 94, Try 1 complete: Score = -1007
Trial 95, Try 1 complete: Score = -1004
Trial 96, Try 1 complete: Score = -1017
Trial 96, Try 2 complete: Score = -1006
Trial 96, Try 3 complete: Score = -1017
Trial 96, Try 4 complete: Score = -1017
Trial 96, Try 5 complete: Score = -1017
Trial 96, Try 6 complete: Score = -1017
Trial 96, Try 7 complete: Score = -1017
Trial 96, Try 8 complete: Score = -1017
Trial 96, Try 9 complete: Score = -1017
Trial 96, Try 10 complete: Score = -1017
Trial 97, Try 1 complete: Score = -1002
Trial 97, Try 2 complete: Score = -1003
Trial 97, Try 3 complete: Score = -1002
Trial 97, Try 4 complete: Score = -1000
Trial 97, Try 5 complete: Score = -1000
Trial 97, Try 6 complete: Score = -1000
Trial 97, Try 7 complete: Score = -1000
Trial 97, Try 8 complete: Score = -1000
Trial 97, Try 9 complete: Score = -1000
Trial 97, Try 10 complete: Score = -1000
Trial 99, Try 1 complete: Score = -1003
Trial 99, Try 2 complete: Score = -1004
Trial 99, Try 3 complete: Score = -1022
Trial 99, Try 4 complete: Score = -1018
Trial 99, Try 5 complete: Score = -1007
Trial 100, Try 2 complete: Score = -1017
Trial 100, Try 4 complete: Score = -1017
Trial 100, Try 6 complete: Score = -1017
Trial 100, Try 8 complete: Score = -1017
Trial 100, Try 10 complete: Score = -1017
Trial 101, Try 1 complete: Score = -1004
Trial 101, Try 2 complete: Score = -1004
Trial 101, Try 3 complete: Score = -1000
Trial 101, Try 4 complete: Score = -1000
Trial 101, Try 5 complete: Score = -1000
Trial 101, Try 6 complete: Score = -1000
Trial 101, Try 7 complete: Score = -1000
Trial 101, Try 8 complete: Score = -1000
Trial 101, Try 9 complete: Score = -1000
Trial 101, Try 10 complete: Score = -1000
Trial 102, Try 1 complete: Score = -1017
Trial 102, Try 2 complete: Score = -1013
Trial 102, Try 3 complete: Score = -1019
Trial 102, Try 4 complete: Score = -1009
Trial 105, Try 1 complete: Score = -1022
Trial 106, Try 1 complete: Score = -1003
Trial 106, Try 2 complete: Score = -1001
Trial 106, Try 3 complete: Score = -1009
Trial 106, Try 4 complete: Score = -1000
Trial 106, Try 5 complete: Score = -1001
Trial 106, Try 6 complete: Score = -1000
Trial 106, Try 7 complete: Score = -1000
Trial 106, Try 8 complete: Score = -1000
Trial 106, Try 9 complete: Score = -1000
Trial 106, Try 10 complete: Score = -1000
Trial 108, Try 1 complete: Score = -1013
Trial 108, Try 2 complete: Score = -1001
Trial 108, Try 3 complete: Score = -1017
Trial 108, Try 4 complete: Score = -1013
Trial 108, Try 5 complete: Score = -1013
Trial 108, Try 6 complete: Score = -1013
Trial 108, Try 7 complete: Score = -1013
Trial 108, Try 8 complete: Score = -1013
Trial 108, Try 9 complete: Score = -1013
Trial 108, Try 10 complete: Score = -1013
Trial 109, Try 1 complete: Score = -1004
Trial 109, Try 2 complete: Score = -1017
Trial 110, Try 1 complete: Score = -1008
Trial 110, Try 2 complete: Score = -1007
Trial 110, Try 3 complete: Score = -1000
Trial 110, Try 4 complete: Score = -1000
Trial 110, Try 5 complete: Score = -1000
Trial 110, Try 6 complete: Score = -1000
Trial 110, Try 7 complete: Score = -1000
Trial 110, Try 8 complete: Score = -1000
Trial 110, Try 9 complete: Score = -1000
Trial 110, Try 10 complete: Score = -1000
Trial 111, Try 1 complete: Score = -1012
Trial 111, Try 2 complete: Score = -1017
Trial 111, Try 3 complete: Score = -1015
Trial 111, Try 4 complete: Score = -1009
Trial 111, Try 5 complete: Score = -1009
Trial 111, Try 6 complete: Score = -1009
Trial 111, Try 7 complete: Score = -1009
Trial 111, Try 8 complete: Score = -1009
Trial 111, Try 9 complete: Score = -1009
Trial 111, Try 10 complete: Score = -1009
Trial 112, Try 1 complete: Score = -1006
Trial 113, Try 1 complete: Score = -1007
Trial 113, Try 2 complete: Score = -1001
Trial 115, Try 1 complete: Score = -1002
Trial 115, Try 2 complete: Score = -1013
Trial 115, Try 3 complete: Score = -1016
Trial 115, Try 4 complete: Score = -1016
Trial 115, Try 5 complete: Score = -1023
Trial 115, Try 6 complete: Score = -1009
Trial 115, Try 7 complete: Score = -1009
Trial 115, Try 8 complete: Score = -1009
Trial 115, Try 9 complete: Score = -1009
Trial 115, Try 10 complete: Score = -1009
Trial 118, Try 1 complete: Score = -1017
Trial 118, Try 2 complete: Score = -1027
Trial 118, Try 3 complete: Score = -1009
Trial 118, Try 4 complete: Score = -1009
Trial 118, Try 5 complete: Score = -1009
Trial 118, Try 6 complete: Score = -1009
Trial 118, Try 7 complete: Score = -1009
Trial 118, Try 8 complete: Score = -1009
Trial 118, Try 9 complete: Score = -1009
Trial 118, Try 10 complete: Score = -1009
Trial 119, Try 1 complete: Score = -1014
Trial 119, Try 2 complete: Score = -1013
Trial 119, Try 3 complete: Score = -1020
Trial 120, Try 1 complete: Score = -1002
Trial 120, Try 2 complete: Score = -1001
Trial 120, Try 3 complete: Score = -1005
Trial 120, Try 4 complete: Score = -1000
Trial 120, Try 5 complete: Score = -1000
Trial 120, Try 6 complete: Score = -1000
Trial 120, Try 7 complete: Score = -1000
Trial 120, Try 8 complete: Score = -1000
Trial 120, Try 9 complete: Score = -1000
Trial 120, Try 10 complete: Score = -1000
Trial 121, Try 1 complete: Score = -1018
Trial 122, Try 1 complete: Score = -1002
Trial 122, Try 2 complete: Score = -1003
Trial 122, Try 3 complete: Score = -1004
Trial 122, Try 4 complete: Score = -1005
Trial 122, Try 5 complete: Score = -1000
Trial 122, Try 6 complete: Score = -1000
Trial 122, Try 7 complete: Score = -1000
Trial 122, Try 8 complete: Score = -1000
Trial 122, Try 9 complete: Score = -1000
Trial 122, Try 10 complete: Score = -1000
Trial 124, Try 1 complete: Score = -1014
Trial 124, Try 2 complete: Score = -1025
Trial 126, Try 1 complete: Score = -1012
Trial 126, Try 2 complete: Score = -1013
Trial 127, Try 1 complete: Score = -1013
Trial 127, Try 2 complete: Score = -1017
Trial 127, Try 3 complete: Score = -1013
Trial 127, Try 4 complete: Score = -1009
Trial 127, Try 5 complete: Score = -1017
Trial 127, Try 6 complete: Score = -1013
Trial 127, Try 7 complete: Score = -1009
Trial 127, Try 8 complete: Score = -1017
Trial 127, Try 9 complete: Score = -1013
Trial 127, Try 10 complete: Score = -1009
Trial 128, Try 1 complete: Score = -1009
Trial 128, Try 2 complete: Score = -1000
Trial 128, Try 3 complete: Score = -1000
Trial 128, Try 4 complete: Score = -1000
Trial 128, Try 5 complete: Score = -1000
Trial 128, Try 6 complete: Score = -1000
Trial 128, Try 7 complete: Score = -1000
Trial 128, Try 8 complete: Score = -1000
Trial 128, Try 9 complete: Score = -1000
Trial 128, Try 10 complete: Score = -1000
Trial 129, Try 1 complete: Score = -1002
Trial 129, Try 2 complete: Score = -1020
Trial 129, Try 3 complete: Score = -1009
Trial 129, Try 4 complete: Score = -1000
Trial 129, Try 5 complete: Score = -1000
Trial 129, Try 6 complete: Score = -1000
Trial 129, Try 7 complete: Score = -1000
Trial 129, Try 8 complete: Score = -1000
Trial 129, Try 9 complete: Score = -1000
Trial 129, Try 10 complete: Score = -1000
Trial 130, Try 1 complete: Score = -1006
Trial 130, Try 2 complete: Score = -1027
Trial 130, Try 3 complete: Score = -1000
Trial 130, Try 4 complete: Score = -1000
Trial 130, Try 5 complete: Score = -1000
Trial 130, Try 6 complete: Score = -1000
Trial 130, Try 7 complete: Score = -1000
Trial 130, Try 8 complete: Score = -1000
Trial 130, Try 9 complete: Score = -1000
Trial 130, Try 10 complete: Score = -1000
Trial 131, Try 1 complete: Score = -1002
Trial 131, Try 3 complete: Score = -1022
Trial 131, Try 5 complete: Score = -1015
Trial 131, Try 7 complete: Score = -1015
Trial 131, Try 9 complete: Score = -1015
Trial 132, Try 1 complete: Score = -1012
